data,ano,mes,ipca
2024-01-01,2024,JAN,1.27
2024-02-01,2024,FEV,1.82
2024-03-01,2024,MAR,1.42
2024-04-01,2024,ABR,1.37
2024-05-01,2024,MAI,1.0
2024-06-01,2024,JUN,1.05
2024-07-01,2024,JUL,1.05
2024-08-01,2024,AGO,0.57
2024-09-01,2024,SET,0.8
2024-10-01,2024,OUT,0.98
2024-11-01,2024,NOV,1.4
2024-12-01,2024,DEZ,1.48
2025-01-01,2025,JAN,1.07
2025-02-01,2025,FEV,2.0
2025-03-01,2025,MAR,2.04
2025-04-01,2025,ABR,2.32
2025-05-01,2025,MAI,1.26
2025-06-01,2025,JUN,0.93
2025-07-01,2025,JUL,0.76
2025-08-01,2025,AGO,0.39
2025-09-01,2025,SET,0.63
2025-10-01,2025,OUT,0.46
2025-11-01,2025,NOV,0.75
2025-12-01,2025,DEZ,0.6
2026-01-01,2026,JAN,0.84
2026-02-01,2026,FEV,1.37
